File Path,File Name,Project Number,File Extension,File Size (bytes),Modification Date,Revision Number,Project Folder Name,Database Match,Project Name,RFP Number,RFP Issue Date,RFP Status,RFP Stage,Company,Contact,Package,Staff Name,Activity,RFP Created At,RFP Updated At
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96603 Khobar Grand Mosque/02 Proposal/e-23-96603-FP-01.pdf","e-23-96603-FP-01.pdf","23-96603","pdf","145376","2023-05-02 09:07:55","01","23-96603 Khobar Grand Mosque","YES","Khobar Grand Mosque","23-96603-FP","230502","Lost","Lost","company:AFN","contacts:1eh5ax6lp5kezba6blc9","Lighting","Martin Robert","Specialist Lighting Design and Consultancy","2025-06-25T13:27:35.601Z","2025-06-25T13:27:35.601Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96604 DockX/02 Proposal/e-23-96604-FP-01.pdf","e-23-96604-FP-01.pdf","23-96604","pdf","196523","2023-05-08 14:15:05","01","23-96604 DockX","YES","DockX","23-96604-FP","230508","Lost","Lost","company:KCC","contacts:t6s1857mu4frfmto1l7m","Lighting, Video, Sound, Acoustics, Technologies","Martin Robert","Sensory Systems Design and Consultancy","2025-06-25T13:27:35.601Z","2025-06-25T13:27:35.601Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96605 Jumpoline/02 Proposal/e-23-96605-FP-01.pdf","e-23-96605-FP-01.pdf","23-96605","pdf","175395","2023-05-08 14:15:04","01","23-96605 Jumpoline","YES","Jumpoline","23-96605-FP","230508","Lost","Lost","company:KCC","contacts:t6s1857mu4frfmto1l7m","Lighting, Video, Sound, Technologies","Martin Robert","Sensory Systems Design and Consultancy","2025-06-25T13:27:35.602Z","2025-06-25T13:27:35.602Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96607 HoH KSA/02 Proposal/e-23-96607-FP-01.pdf","e-23-96607-FP-01.pdf","23-96607","pdf","176863","2023-07-26 12:51:28","01","23-96607 HoH KSA","YES","HoH KSA","23-96607-FP","230726","Lost","Lost","company:HYP","contacts:zg9eeg62kl62xbxkidas","Lighting, Video, Sound, Interactives, Atmospherics, Control Systems","Martin Robert","Technical Systems Design and Consultancy","2025-06-25T13:27:35.602Z","2025-06-25T13:27:35.602Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97101 Marina Island/02 Proposal/e-23-97101-LI-FP-01.pdf","e-23-97101-LI-FP-01.pdf","23-97101","pdf","154221","2023-01-02 11:27:59","01","23-97101 Marina Island","YES","Marina Island Financial District","23-97101-LI-FP","220102","Lost","Lost","company:PTG","contacts:9v0wbzd87364z4kpaude","Lighting","Martin Robert","Specialist Lighting Design and Consultancy","2025-06-25T13:27:35.602Z","2025-06-25T13:27:35.602Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97102 Wynn RAK/02 Proposal/e-23-97102-FP-01.pdf","e-23-97102-FP-01.pdf","23-97102","pdf","175993","2023-01-19 10:48:41","01","23-97102 Wynn RAK","YES","Wynn Marjan Island Integrated Resort","23-97102-FP","230119","Lost","Lost","company:WDD","contacts:jqthhfecmm72zspptia5","AV + Acoustics (Audio Visual and Acoustics)","Martin Robert","Audio Visual and Acoustics Design and Consultancy","2025-06-25T13:28:08.559Z","2025-06-25T13:28:08.559Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97105 Tape Theatre/02 Proposal/e-23-97105-FP-01.pdf","e-23-97105-FP-01.pdf","23-97105","pdf","139701","2023-05-23 13:22:18","01","23-97105 Tape Theatre","YES","Tape Theatre Dubai","23-97105-FP","230523","Lost","Lost","company:SMT","contacts:3u76d75xc7lrng1ea9ff","Audio (specialist audio-only project)","Andrew Hawkes","Audio Design and Consultancy","2025-06-25T13:28:08.560Z","2025-06-25T13:28:08.560Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97106 Palm Fountain/02 Proposal/e-23-97106-FP-01.pdf","e-23-97106-FP-01.pdf","23-97106","pdf","172540","2023-06-09 16:17:23","01","23-97106 Palm Fountain","YES","The Palm Fountain","23-97106-FP","230609","Lost","Lost","company:DIL","contacts:zbcb0y3llmz4gr6kk0om","AV and Lighting Control System","Martin Robert","Control System Design and Supervision","2025-06-25T13:28:08.560Z","2025-06-25T13:28:08.560Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97107 DAFZA Refurb/02 Proposal/e-23-97107-FP-01.pdf","e-23-97107-FP-01.pdf","23-97107","pdf","145567","2023-06-21 15:54:21","01","23-97107 DAFZA Refurb","YES","DAFZA Refurbishment","23-97107-FP","230621","Lost","Lost","company:PTG","contacts:nh05fb5o5zvlra5t75fp","Lighting (specialist lighting-only project)","Martin Robert","Specialist Lighting Design and Consultancy","2025-06-25T13:28:08.560Z","2025-06-25T13:28:08.560Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-25101 EEC Sports Arena/02 Proposal/yy-cccnn-FP-01.indd","yy-cccnn-FP-01.indd","24-25101","indd","1662976","2024-05-27 12:46:47","01","24-25101 EEC Sports Arena","NO","EEC Sports Arena","","","","","","","","","","",""
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-96603 Marasi Gate/02 Proposal/e-24-96603-FP-01.pdf","e-24-96603-FP-01.pdf","24-96603","pdf","96528","2024-08-08 09:46:44","01","24-96603 Marasi Gate","YES","Marasi Gate Retail Block","24-96603-FP","240808","Lost","Lost","company:AFN","contacts:y5opwyedf8b0rs8qc3ar","Lighting","Martin Robert","Specialist Lighting Design and Consultancy","2025-06-25T13:28:45.875Z","2025-06-25T13:28:45.875Z"
"/mnt/e/emittiv/emittiv/01 Projects/99 Completed/24-96605 Observatory/02 Proposal/24-96605-FP-01.pdf","24-96605-FP-01.pdf","24-96605","pdf","99143","2024-09-12 13:46:46","01","24-96605 Observatory","YES","Neom Trojena Mountain Observatory","24-96605-FP","240911","Awarded","Awarded","company:UA","contacts:zk5ruoxnlmlhhmn3l5ai","Specialist Video","Martin Robert","Review, Design and Consultancy","2025-06-25T13:28:45.876Z","2025-06-25T13:28:45.876Z"
"/mnt/e/emittiv/emittiv/01 Projects/99 Completed/24-96606 JOH/02 Proposal/24-96606-FP-01.pdf","24-96606-FP-01.pdf","24-96606","pdf","104439","2024-10-18 16:45:32","01","24-96606 JOH","YES","Jeddah Opera House","24-96606-FP","241018","Awarded","Awarded","company:MPME","contacts:4v8udcw6epjpmpet7qlu","Theatrical Lighting","Martin Robert","Specialist Lighting Technical Management","2025-06-25T13:28:45.876Z","2025-06-25T13:28:45.876Z"
"/mnt/e/emittiv/emittiv/01 Projects/11 Current/24-97101 HoH Supervision/02 Proposal/e-24-97101-FP-02.pdf","e-24-97101-FP-02.pdf","24-97101","pdf","173928","2024-03-11 15:50:54","02","24-97101 HoH Supervision","NO","House of Hype Dubai Supervision","","","","","","","","","","",""
"/mnt/e/emittiv/emittiv/01 Projects/99 Completed/24-97105 MAF MiCC Kids/02 Proposal/24-97105-FP-01.pdf","24-97105-FP-01.pdf","24-97105","pdf","105433","2024-02-15 10:17:41","01","24-97105 MAF MiCC Kids","YES","MAF MiCC Kids","24-97105-FP","240215","Awarded","Awarded","company:SLG","contacts:f0itcziq0buolzzdzkkf","Specialist Lighting","Martin Robert","Design and Consultancy","2025-06-25T13:28:45.877Z","2025-06-25T13:28:45.877Z"
"/mnt/e/emittiv/emittiv/01 Projects/11 Current/24-97109 MOE FEC v2/02 Proposal/24-97109-FP-01.pdf","24-97109-FP-01.pdf","24-97109","pdf","107419","2024-07-08 13:22:31","01","24-97109 MOE FEC v2","YES","MAF MOE FEC","24-97109-FP","240708","Awarded","Awarded","company:SLG","contacts:f0itcziq0buolzzdzkkf","Lighting, Video, Sound, Scent, Control Systems","Martin Robert","Sensory Systems Design and Consultancy","2025-06-25T13:28:45.877Z","2025-06-25T13:28:45.877Z"
"/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/25-96601 Pit Stop/02 Proposal/25-96601-FP-01.pdf","25-96601-FP-01.pdf","25-96601","pdf","140568","2025-05-23 11:22:04","01","25-96601 Pit Stop","YES","Pit Stop Theatre","25-96601-FP","250523","Lost","Lost","company:TAIT","contacts:dzgj6pr0bq1z4g55jgwr","Lighting, Video, Special FX","Martin Robert","Lighting, Video, and SFX Design","2025-06-25T13:29:23.856Z","2025-06-25T13:29:23.856Z"
"/mnt/e/emittiv/emittiv/01 Projects/99 Completed/25-97101 Shanghai Tang/02 Proposal/25-97101-FP-01.pdf","25-97101-FP-01.pdf","25-97101","pdf","96671","2025-01-27 09:31:22","01","25-97101 Shanghai Tang","YES","Shanghai Tang","25-97101-FP","250127","Awarded","Awarded","company:CHE","contacts:s1pk5mvl8z80le15vnp9","Lighting, Audio (with optional Acoustics)","Martin Robert","Lighting and Audio Design","2025-06-25T13:29:23.856Z","2025-06-25T13:29:23.856Z"
"/mnt/e/emittiv/emittiv/01 Projects/11 Current/25-97102 WAMI/02 Proposal/25-97102-FP-01.pdf","25-97102-FP-01.pdf","25-97102","pdf","124093","2025-05-21 11:47:17","01","25-97102 WAMI","YES","Wynn Al Marjan Island","25-97102-FP","250521","Active","Under Review","company:WAMI","contacts:jqthhfecmm72zspptia5","Specialist Lighting, Related Control Systems","Martin Robert","Specialist Lighting Sitewide Lighting Consultancy","2025-06-25T13:29:23.857Z","2025-06-25T13:29:23.857Z"
"/mnt/e/emittiv/emittiv/01 Projects/11 Current/25-97103 Aljada F+G/02 Proposal/25-97103-FP-01.pdf","25-97103-FP-01.pdf","25-97103","pdf","106983","2025-04-17 14:21:11","01","25-97103 Aljada F+G","YES","Aljada Block F + G","25-97103-FP","250417","Active","Sent","company:JZY","contacts:e616mb9ppo0514wfb0s5","Lighting (Home Automation excluded due to lack of information)","Martin Robert","Specialist Lighting Design and Consultancy","2025-06-25T13:29:23.858Z","2025-06-25T13:29:23.858Z"
"/mnt/e/emittiv/emittiv/01 Projects/11 Current/25-97104 MAF MiCC v2/02 Proposal/25-97104-FP-01.pdf","25-97104-FP-01.pdf","25-97104","pdf","95177","2025-05-08 12:41:14","01","25-97104 MAF MiCC v2","YES","MAF Kids FEC","25-97104-FP","250508","Awarded","Awarded","company:SLG","contacts:f0itcziq0buolzzdzkkf","Specialist Lighting, Related Control Systems","Martin Robert","Specialist Lighting Design and Consultancy","2025-06-25T13:29:23.859Z","2025-06-25T13:29:23.859Z"
"/mnt/e/emittiv/emittiv/01 Projects/11 Current/25-97105 Shanghai Tang v2/02 Proposal/25-97105-FP-01.pdf","25-97105-FP-01.pdf","25-97105","pdf","99635","2025-05-08 15:32:12","01","25-97105 Shanghai Tang v2","YES","Shanghai Tang Revision","25-97105-FP","250508","Awarded","Awarded","company:CHE","contacts:s1pk5mvl8z80le15vnp9","Lighting, Audio","Martin Robert","Lighting and Audio Design","2025-06-25T13:29:23.859Z","2025-06-25T13:29:23.859Z"
"/mnt/e/emittiv/emittiv/01 Projects/11 Current/25-97106 MAF MOE FEC v3/02 Proposal/25-97106-FP-01.pdf","25-97106-FP-01.pdf","25-97106","pdf","113928","2025-06-23 12:02:44","01","25-97106 MAF MOE FEC v3","YES","MAF MOE Kids FEC","25-97106-FP","250623","Sent","Sent","company:SLG","contacts:f0itcziq0buolzzdzkkf","Lighting, Video, Sound, Scent, Control Systems","Martin Robert","Sensory Systems Design and Consultancy","2025-06-25T13:29:23.859Z","2025-06-25T13:29:23.859Z"
